m/z	retention_time	p-value	t-score	custom_id
760.58465	19.341	1	-0.07825579434577958	P1
876.80088	23.952	1	0.07230909351664237	P2
782.56882	18.116	1	0.1676653884894498	P3
758.56897	18.518	1	0.013163395795959204	P4
806.56868	17.913	1	-0.12604356718295995	P6
874.78481	23.42	1	0.09621124010981164	P7
848.76963	23.348	1	0.34662334299724384	P8
784.58393	19.02	1	-0.24603495122038405	P9
810.59934	19.6	1	0.0811808429270278	P10
902.81583	23.995	1	-0.034880477741743125	P11
812.61544	21.49	1	-0.20210855125270616	P12
703.57457	16.649	1	0.23499394677793264	P13
808.58384	18.354	1	0.05017676618354183	P14
846.75373	22.872	1	0.5469245622127465	P15
850.78588	23.923	1	0.2959825914052224	P16
738.64643	16.871	0	-0.623662910565411	P17
764.52141	16.962	1	-0.3271839772676181	P18
872.76922	22.977	1	0.27285530663148905	P19
900.80052	23.515	1	0.04325080986153338	P20
732.55364	18.061	1	-0.024078715197327627	P21
820.73836	22.798	1	0.4943258037976456	P22
496.33969	10.5	1	0.38711827269529714	P23
904.83199	24.673	1	-0.041628051040591675	P24
832.58431	18.079	0	-0.9156959925938609	P25
1520.165	19.408	1	-0.03591594139547632	P26
756.55353	17.775	0	-0.7174960187004275	P27
524.37105	11.862	1	0.3862798652856387	P28
834.59966	19.173	1	-0.18246443225183456	P29
768.55383	18.153	1	-0.3174500521931524	P30
766.53753	17.304	1	-0.2762974953868718	P31
638.57153	19.294	1	0.387246214423412	P32
740.52205	17.125	1	-0.03283140099182512	P33
813.68382	23.413	1	-0.19557950470361424	P34
862.78563	23.666	1	0.17110063913665133	P35
904.59029	15.514	1	-0.08323243770654903	P36
780.55264	17.858	1	0.15271202818931365	P37
734.56962	19.235	1	-0.05722400265911591	P38
822.75466	23.301	1	0.6030449422881302	P39
844.73831	22.453	0	0.694862393481387	P40
930.84806	24.66	1	-0.12300588479380292	P41
534.52389	17.445	1	-0.21824107426977676	P42
522.35572	10.769	1	-0.03791820612312809	P43
898.78507	23.098	1	0.11840152340256206	P44
774.60121	21.321	1	-0.138325030465764	P45
804.55288	17.31	1	-0.010330033445097487	P46
790.53726	17.158	1	-0.3028518700220219	P47
818.72271	22.344	1	0.5265712424854526	P48
746.60585	22.845	1	-0.06611873310540646	P49
730.53824	17.428	1	-0.01788687779332052	P50
870.75379	22.606	1	0.43255759584348435	P51
746.57037	18.905	1	-0.37472383360499845	P52
890.81704	24.3	1	-0.031780981088017794	P53
544.33966	9.935	1	0.005490367064896475	P54
878.81697	24.669	1	0.035443560425736396	P55
888.80117	23.721	1	0.07381417028724487	P56
429.37233	15.204	0	0.7266214261764422	P57
830.56865	17.588	1	-0.464891937887192	P58
429.37233	16.368	0	1.020901834738281	P59
612.55593	19.183	0	0.7805001692787643	P60
812.54346	16.714	1	-0.04556425534059154	P61
627.53429	15.506	1	-0.051939077157282944	P62
1565.13692	18.088	1	0.17064361646519852	P63
1516.1338	18.476	1	0.10791209864292269	P64
1546.17871	19.186	1	-0.0183835757083215	P65
610.54031	18.538	0	1.2010911337379608	P66
568.33953	10.002	1	-0.07168785693706763	P68
926.81688	23.685	1	-0.04749206958921522	P69
552.53444	17.445	1	-0.19991982222309085	P70
792.70756	22.261	0	0.6127715647696107	P72
768.5904	19.141	1	0.06561379658172452	P73
928.83243	24.171	1	-0.10624708242863201	P74
792.55353	17.89	1	-0.1920920554400238	P75
689.55902	16.185	1	0.37251571927005594	P76
742.5383	17.553	1	-0.5688998697499291	P77
1613.13724	17.855	1	-0.031173913084899297	P78
796.58426	18.918	1	-0.005399998435207269	P79
1571.18446	19.613	1	0.11563175417000769	P80
1537.19337	18.938	0	-0.9468460959810321	P81
860.77012	23.146	1	0.315102428780781	P82
1572.19639	20.643	1	0.028558777743848678	P83
834.75464	23.095	1	0.47886009700687426	P84
520.33989	9.919	1	-0.06393759453741137	P85
782.56724	19.44	1	-0.09064900048522105	P86
906.60684	16.22	1	-0.07670609739070479	P87
794.72337	22.738	1	0.6064063037052138	P88
1566.14898	18.375	1	-0.5227751096931446	P89
720.59014	22.505	1	0.012616576080858923	P90
1564.13357	18.09	1	0.12355148267798742	P91
502.29279	9.651	1	-0.14112775965305438	P92
922.78543	23.037	1	-0.0008307999603235584	P93
896.77001	22.705	1	0.28207467032001593	P94
887.56492	15.506	1	-0.05659376578659525	P95
820.58442	18.498	1	-0.0289725115703711	P96
1540.13309	18.234	1	0.13784935945110324	P97
603.53438	19.296	1	0.46762481770232706	P98
636.55621	18.731	0	0.8175694754865948	P99
577.51875	19.187	0	0.8179193768387908	P100
812.65201	21.395	1	-0.12472641563683613	P101
824.61565	20.933	1	-0.17172016161697107	P103
902.57572	15.006	1	-0.20335301025027097	P104
520.50864	16.949	1	-0.0651975926615938	P105
762.50642	16.138	1	-0.30842497221525494	P106
526.29278	9.716	1	-0.20861145748026297	P107
716.5227	17.295	1	-0.2198369782851093	P108
339.28915	19.286	0	0.666671626123092	P109
762.60039	23.069	1	-0.07664027854196252	P110
577.51887	23.786	1	0.08978198349652285	P111
794.60535	19.171	1	-0.01881138392127703	P112
836.7705	23.617	1	0.4255418144316906	P113
1612.1338	17.857	1	-0.10270045173203485	P116
864.80189	24.255	1	0.07708466179393443	P117
932.86436	25.442	1	-0.09522142732727142	P118
854.56909	17.306	1	0.0026052378551809836	P119
916.8328	24.354	1	-0.16006537045211236	P120
1570.18059	19.63	1	0.03042562590846817	P121
759.58769	15.952	1	-0.4447619399138717	P122
629.55033	16.219	1	-0.07121150052156673	P123
842.72306	22.138	0	0.6541499208166495	P124
754.53826	17.306	1	0.13197099390338354	P125
1511.17757	18.674	1	-0.5780339057187658	P126
920.77005	22.592	1	-0.0018636584533237826	P127
705.5907	17.291	1	0.3540508902212324	P128
804.55119	18.175	0	-0.6668019055554942	P129
924.80096	23.243	1	0.009369801067262628	P130
838.55928	15.439	1	-0.17587370773508643	P133
701.55915	15.921	1	0.46009855072565686	P135
836.54346	16.526	1	-0.21481392176384848	P136
603.5345	23.839	1	0.008052848924694867	P137
738.50661	16.197	1	-0.08419908114114011	P138
1589.13698	17.956	1	-0.2899867249570626	P139
575.50319	18.524	0	1.1713151443944763	P140
778.5375	17.147	1	-0.05076088518461645	P141
894.75451	22.491	1	0.31553580722119434	P142
1528.04082	16.97	1	-0.46303786148739234	P143
811.66752	20.612	1	0.012079797689842926	P144
1590.14843	18.246	1	-0.27837347438187465	P145
750.54356	17.623	1	0.15920938948396168	P146
744.55418	17.791	1	-0.41245223701191613	P147
868.73873	22.229	0	0.8964563576354767	P148
546.35252	11.942	1	0.17492844751161474	P149
482.32405	11.33	1	-0.3743000213449647	P150
338.34204	13.961	1	-0.065606607833046	P151
876.55998	14.83	1	-0.03416934542710891	P152
1569.16833	19.048	1	-0.022999987806822945	P153
1527.12109	18.281	1	-0.00643220485376353	P154
1529.04472	17.005	1	0.3875519744513623	P155
761.58895	20.554	1	-0.07630311229243301	P156
770.56884	18.668	1	-0.1840263656010078	P157
1542.14804	18.594	1	0.5338716823563717	P158
675.5435	15.566	1	0.4011545532676261	P159
454.29275	10.136	1	-0.4836699479236962	P161
1494.14938	19.262	1	-0.08511115364896946	P162
906.84874	25.509	1	-0.06450613444096669	P163
810.52837	15.897	1	0.11217500214841236	P164
718.53841	17.97	0	-1.036721205879783	P165
786.60112	21.605	1	-0.20167394393345728	P166
546.35524	10.516	1	-0.2602550580504646	P167
1614.14519	17.989	1	-0.5290333785018898	P168
577.51884	16.462	1	-0.001822872711086332	P169
766.69225	22.189	1	0.46506400192918773	P170
832.73905	22.607	1	0.3464733415305877	P171
790.6924	21.821	1	0.5730789986139458	P172
182.19038	0.915	1	-0.04330294976881348	P173
538.51931	16.949	1	-0.13315535222571703	P174
792.57516	16.342	1	-0.015803643524558156	P175
1526.11756	18.277	1	-0.14288966344620255	P176
788.52189	16.464	1	-0.2422913536815962	P177
744.55463	18.41	1	-0.15590641183306708	P178
339.28917	16.344	1	-0.01653296847610451	P180
812.61662	22.779	1	0.5520640782780128	P181
706.53842	17.942	1	0.005692995101814296	P182
824.77051	23.924	1	0.09144141191934912	P183
575.50317	23.226	1	0.20672357538597338	P184
625.51915	15.007	1	-0.08640523800405939	P185
1550.1175	18.086	1	0.1028796347669931	P186
1561.19324	18.762	1	0.06379812538909752	P187
784.51279	15.519	1	0.28326408874969455	P188
958.88014	25.492	1	-0.20908829861798364	P189
658.54061	18.306	0	0.8705407436601114	P190
518.3213	10.516	1	0.5331652415695759	P191
487.35283	10.452	0	-0.6658310978036374	P192
918.84918	25.019	1	-0.020169778750646822	P193
704.52287	17.212	1	0.04906128172419462	P194
1616.15849	18.244	1	-0.4926994664324574	P195
582.50915	17.636	0	0.7373831511132358	P196
1625.23166	21.511	1	-0.0927793463387609	P197
832.58241	19.886	1	0.06642166209024068	P198
724.52783	17.446	1	0.41526044709902815	P199
1551.12138	18.166	1	-0.041687611843213596	P200
369.35119	15.261	1	-0.0030338989123743646	P201
834.59854	21.379	1	-0.008160546331952479	P202
731.60629	17.811	1	-0.06686188181169607	P203
889.58052	16.221	1	-0.07144131328661225	P204
886.78547	23.225	1	0.1496843580601547	P205
480.30893	10.485	0	-0.7235647005001667	P206
447.38309	16.371	0	0.7360718778325944	P207
1562.11714	17.808	0	-0.6357053703030727	P208
1594.17986	19.11	1	-0.03518042887631813	P209
274.2747	7.805	1	0.004060638682035099	P210
1539.11995	17.93	1	0.03995050899574794	P211
599.50333	14.831	1	-0.03580602816057365	P212
1588.13333	17.956	1	0.011593027667612683	P213
773.58618	20.195	1	0.06769386092085918	P214
828.55049	17.85	1	-0.06710385007822903	P215
787.60442	21.337	1	-0.04286818218153104	P216
1568.16456	19.09	1	-0.017966603580760538	P217
806.72359	22.533	1	0.41942239320440833	P218
856.5846	17.746	1	-0.16516908720009973	P219
1621.19956	19.783	1	0.42233486516572916	P220
1104.06375	17.465	1	-0.4878705649235928	P221
770.56946	17.934	1	0.028619443739768564	P222
584.52488	18.371	0	1.1771055639970995	P223
848.61582	20.331	1	-0.07856392144524423	P225
795.62922	21.394	1	-0.24294132520080836	P226
764.67669	21.723	1	0.5861848039747902	P227
808.51271	15.451	1	-0.06511848626735425	P228
948.80119	23.073	1	-0.0882070260405996	P229
917.82787	23.949	1	0.035789721793864915	P230
794.56944	17.772	0	-0.7001169157560887	P231
339.28928	15.418	1	-0.09435708536823834	P232
798.59826	20.636	1	-0.18245541787682987	P233
385.27369	9.698	1	-0.21322904319549896	P234
1575.12148	18.01	1	-0.11290988949040466	P235
737.64126	16.879	1	-0.5996160987544862	P236
858.75442	22.693	1	0.438063706837745	P237
720.55427	18.596	1	0.11748001763255467	P238
1530.05567	17.15	1	-0.12428211596468518	P239
954.84836	24.264	1	-0.13249401191339277	P240
808.73914	23.018	1	0.5188038820210247	P241
1532.07147	17.307	1	-0.030055927546302787	P242
648.62902	19.763	0	-0.6693023508048698	P243
818.56858	17.801	0	-0.894927722048056	P244
834.5285	15.849	1	-0.1293074154131076	P245
630.61824	19.75	0	-0.7797464922218853	P246
634.54059	18.455	0	0.8213152750331744	P247
339.28925	18.51	0	1.1956889454867343	P248
660.55629	18.578	0	0.6436618073758523	P249
1598.21141	21.268	1	-0.127915645467074	P250
666.60316	20.024	1	0.39166983172527103	P251
860.61599	19.203	1	-0.09406856245540225	P252
684.55636	18.449	0	0.8530426578645383	P253
361.27388	9.639	1	-0.13030342101693929	P254
766.55941	16.462	1	-0.004732822782293768	P255
909.54628	15.535	1	-0.09334028279702687	P256
790.55989	15.715	1	0.0070136927890937515	P257
662.5717	19.228	0	0.8346477816680994	P258
885.54895	15.014	1	-0.14803493930049857	P259
836.54406	15.187	1	-0.004266680847182646	P261
1543.15113	19.419	0	-0.7383567350235255	P262
549.48755	23.161	1	0.3218149542611826	P263
700.57237	15.716	1	0.13551250322148817	P264
794.5689	18.381	1	0.05215940070193107	P266
1480.04028	17.13	1	-0.1431891093549884	P267
