SOURCE	TARGET	ENZYMES
C14771	C00219	3.1.2.2;1.14.14.1
C14771	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C14770	2.3.1.16;1.3.3.6;1.14.14.1;3.3.2.10;1.1.1.35;4.2.1.17;3.1.2.2;2.3.1.154;6.2.1.-;3.3.2.9;5.1.99.4
C00219	C14768	1.14.14.1
C00219	C14769	1.14.14.1
C00219	C14770	3.1.2.2;1.14.14.1
C00219	C14748	1.14.15.3
C00219	C14749	1.14.14.1
C00219	C06429	3.1.2.2
C00219	C00350	;3.1.1.4
C00219	C06426	3.1.2.2;6.2.1.3
C00219	C14778	1.14.14.1
C00219	C00712	;3.1.2.2
C00219	C06428	3.1.2.2
C00219	C06427	3.1.1.4;3.1.2.2;6.2.1.3
C14768	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14769	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C06429	C06426	3.1.2.2
C06429	C00712	3.1.2.2
C06429	C06428	3.1.2.2
C06429	C06427	3.1.2.2
C00350	C06427	3.1.1.4;3.1.1.32
C00350	C02737	;3.1.1.4;4.1.1.65;3.1.4.4;2.7.8.-;3.1.1.32
C06426	C00712	3.1.2.2
C06426	C06428	3.1.2.2
C06426	C06427	3.1.2.2;6.2.1.3
C00712	C06428	3.1.2.2
C00712	C06427	3.1.2.2
C06428	C06427	3.1.2.2
C06427	C02737	3.1.1.4;3.1.1.32
C06427	C16300	1.14.19.-
