massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	760.58465	19.341	1.0	0.0104983864	P1
row2	876.80088	23.952	1.0	-0.017901512	P2
row3	782.56882	18.116	1.0	0.002537719	P3
row4	758.56897	18.518	1.0	0.013447446	P4
row5	806.56868	17.913	1.0	0.0169189374	P6
row6	874.78481	23.42	1.0	-0.0176076956	P7
row7	848.76963	23.348	1.0	-0.018856915	P8
row8	784.58393	19.02	1.0	-0.0015652072	P9
row9	810.59934	19.6	1.0	-0.0006921489	P10
row10	902.81583	23.995	1.0	-0.0137289833	P11
row11	812.61544	21.49	1.0	0.0032079762	P12
row12	703.57457	16.649	1.0	0.0145179234	P13
row13	808.58384	18.354	1.0	-0.0172724769	P14
row14	846.75373	22.872	1.0	-0.0149131393	P15
row15	850.78588	23.923	1.0	-0.0143443374	P16
row16	738.64643	16.871	1.0	0.0032196339	P17
row17	764.52141	16.962	1.0	0.0150394398	P18
row18	872.76922	22.977	1.0	-0.0094077102	P19
row19	900.80052	23.515	1.0	-0.0196675378	P20
row20	732.55364	18.061	1.0	0.0082473681	P21
row21	820.73836	22.798	1.0	-0.0100513236	P22
row22	496.33969	10.5	0.0	0.029878151	P23
row23	904.83199	24.673	1.0	-0.0235966864	P24
row24	832.58431	18.079	1.0	0.0026339183	P25
row25	1520.165	19.408	1.0	0.0151388818	P26
row26	756.55353	17.775	1.0	0.0133176935	P27
row27	524.37105	11.862	1.0	0.0251525065	P28
row28	834.59966	19.173	1.0	-0.0141023828	P29
row29	768.55383	18.153	1.0	0.0058237452	P30
row30	766.53753	17.304	1.0	-0.0032042397	P31
row31	638.57153	19.294	1.0	-0.0263019281	P32
row32	740.52205	17.125	1.0	0.003831699	P33
row33	813.68382	23.413	0.0	0.0311619318	P34
row34	862.78563	23.666	1.0	-0.0214548729	P35
row35	904.59029	15.514	1.0	0.0141610488	P36
row36	780.55264	17.858	1.0	0.0139392564	P37
row37	734.56962	19.235	1.0	0.0038797137	P38
