massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	885.54802	16.302	1.0	0.0430910939217074	N1
row2	804.5751	19.724	1.0	0.08495038536282302	N2
row3	883.53182	15.792	1.0	-0.13148466296749148	N3
row4	802.55911	18.807	1.0	0.20738634783075907	N4
row5	762.50662	17.058	1.0	-0.007460832711045929	N5
row6	826.55882	18.392	1.0	-0.19382372202864662	N6
row7	747.5652	16.792	1.0	-0.07274893834737968	N7
row8	540.33037	10.662	1.0	-0.08739666071498331	N8
row9	850.55826	18.167	1.0	-0.08871336721916975	N9
row10	500.27797	9.825	1.0	-0.21129546449749806	N10
row11	819.51703	16.348	1.0	-0.01824213853188312	N11
row12	828.57385	19.224	1.0	0.027304059078884956	N12
row13	568.36144	11.98	1.0	-0.038855754374185175	N13
row14	887.56249	17.004	1.0	0.0883791927225414	N14
row15	773.53171	17.523	1.0	0.19494901164626924	N15
row16	764.52207	17.408	1.0	0.30462914349610604	N16
row17	465.30387	13.098	1.0	-0.19854538096346602	N17
row18	738.50735	17.228	1.0	0.16192478321998993	N18
row19	566.34622	10.886	1.0	-0.266463266011786	N19
row20	854.58935	20.033	1.0	0.12167198107848524	N20
row21	857.51657	15.592	1.0	-0.0018873713615885695	N21
row22	856.60557	21.713	1.0	-0.011565887234946403	N22
row23	480.3093	10.665	1.0	-0.23698230957519642	N23
row24	480.30913	11.502	1.0	-0.06428853958203544	N24
row25	524.2777	9.895	1.0	-0.12872581547102696	N25
row26	311.1685	9.113	1.0	0.024789015101078633	N26
row27	766.53811	18.281	0.0	0.43685003212168627	N27
row28	514.28391	6.249	1.0	0.20854733060450512	N28
row29	325.18407	9.794	1.0	-0.021434299758728587	N29
row30	452.27793	10.317	1.0	-0.14047829000434484	N30
row31	852.57342	18.599	1.0	-0.17431267385242485	N31
row32	776.54354	18.335	1.0	-0.16432358715593068	N32
row33	788.52134	17.266	1.0	-0.02590751336246951	N33
row34	859.53205	16.114	1.0	-0.060435102612545206	N34
row35	771.51653	16.826	1.0	0.13627763063192203	N35
row36	953.53476	16.285	1.0	0.10478171667434343	N36
row37	339.1997	10.45	1.0	-0.09737314919192223	N37
row38	747.51686	17.74	1.0	0.0395260236120173	N38
row39	810.52722	17.947	1.0	0.2172729918969957	N39
row40	865.50078	15.758	1.0	-0.0461409307260415	N40
row41	599.3192	10.812	1.0	-0.017311103358059722	N41
row42	800.54367	18.044	1.0	-0.14812092310807512	N42
row43	782.49663	16.731	1.0	-0.002882695431194815	N43
row44	588.33005	10.104	1.0	0.11919501355909705	N44
row45	795.51673	16.512	1.0	-0.025299417344085497	N45
row46	745.50158	16.495	1.0	0.0886992524154003	N46
row47	740.52112	17.584	1.0	-0.10249862554059855	N47
row48	619.28792	9.223	1.0	0.3249292575280441	N48
row49	478.29404	10.637	1.0	-0.08922416777359005	N49
row50	265.14805	8.045	1.0	-0.25901928447202455	N50
row51	861.54689	16.201	1.0	-0.14168204169198056	N51
row52	872.5609	19.757	1.0	0.1333265214787425	N52
row53	612.3297	10.164	1.0	0.11959876398122551	N53
row54	566.34542	11.731	1.0	0.03929301328593203	N54
row55	564.33018	10.071	1.0	0.25576373438234623	N56
row56	817.50131	16.074	1.0	-0.08697837466392702	N57
row57	714.50712	17.386	1.0	0.12501046402249788	N58
row58	790.53785	18.096	1.0	0.13661655785485743	N59
row59	834.54945	16.412	0.0	0.6281921159479333	N60
row60	890.53855	14.881	1.0	0.17427982421682225	N63
row61	836.56405	16.68	1.0	0.39330053240973134	N64
row62	528.30945	10.756	1.0	-0.3872079400034485	N65
row63	824.54279	17.941	0.0	-0.6173641531906269	N66
row64	716.52249	18.123	1.0	-0.31262860205426585	N67
row65	508.34047	11.982	1.0	-0.046842090127483624	N68
row66	806.49639	16.606	1.0	-0.05345261738948697	N69
row67	638.36648	11.496	1.0	-0.18795480326184355	N70
row68	876.57306	18.305	1.0	-0.19832693947678107	N71
row69	514.28391	5.244	1.0	0.23657165115701156	N72
row70	760.49102	16.23	1.0	-0.22338368250157684	N73
row71	858.55083	16.363	0.0	0.5860680187387819	N74
row72	736.4915	16.342	1.0	-0.023394749594974618	N75
row73	526.29353	10.275	1.0	-0.37654596566378573	N76
row74	981.51665	12.711	1.0	-0.0279612411087677	N77
row75	821.53169	16.916	1.0	0.11390250692915041	N78
row76	871.53153	16.031	1.0	-0.10266472743460804	N79
row77	506.32504	10.912	1.0	-0.27278344262180765	N80
row78	873.5485	16.597	1.0	0.055523357929144465	N82
row79	697.35547	11.394	1.0	-0.01714678137662892	N84
row80	588.46572	15.306	1.0	-0.12118132243240265	N85
row81	878.58922	19.408	1.0	0.23699481237999312	N86
row82	778.56007	19.583	1.0	0.2430768804228561	N87
row83	509.28798	10.355	1.0	0.019496829952315886	N88
row84	624.35095	11.27	1.0	-0.11175663345746233	N89
row85	834.52598	17.909	1.0	0.10394415139183906	N90
row86	797.53167	17.057	1.0	-0.039800037176674664	N91
row87	536.29912	10.883	1.0	-0.1373330864583237	N93
row88	914.53851	15.131	1.0	0.01435364002228727	N94
row89	524.29884	11.244	1.0	-0.2470292965393125	N95
row90	498.28921	7.167	1.0	0.3588182849460542	N96
row91	793.50131	16.16	1.0	-0.11852283975589163	N97
row92	574.44997	14.716	1.0	-0.2751698285360852	N98
row93	909.5458	16.191	1.0	-0.04153912658745226	N99
row94	719.48601	16.522	1.0	-0.12377994889864716	N100
row95	791.48559	15.7	1.0	-0.09002341995301053	N101
row96	578.34563	12.204	1.0	0.006858239886534311	N102
row97	908.54916	13.253	1.0	-0.06394417400364105	N103
row98	815.55185	16.788	1.0	-0.18744123344947916	N105
row99	951.51885	15.806	1.0	-0.07389322952482966	N106
row100	592.3249	10.888	1.0	-0.11267035929115853	N107
row101	281.24834	12.466	1.0	-0.01801308711454267	N108
row102	621.30343	9.827	1.0	0.012919097909074286	N109
row103	664.38208	11.865	1.0	0.14618696573309192	N110
row104	790.56026	19.176	1.0	-0.20316597328569824	N111
row105	870.54506	18.795	1.0	0.2600514827720884	N112
row106	917.53666	14.994	1.0	0.049754930595676775	N113
row107	830.49343	17.067	1.0	0.017920028440280365	N114
row108	608.35584	11.028	1.0	0.031085288913836752	N115
row109	544.26725	9.544	0.0	0.4683927398454245	N116
row110	860.5656	16.651	1.0	0.26519578039148306	N117
row111	610.33516	10.456	1.0	-0.02369156190725849	N118
row112	1015.5059	16.285	1.0	0.07715780464885118	N119
row113	733.54941	16.24	1.0	-0.19255036341638607	N120
row114	568.26593	9.757	1.0	-0.12191281580906349	N121
row115	835.53252	16.144	1.0	0.12542916757511696	N122
row116	594.34025	11.008	1.0	0.02890132898284973	N123
row117	862.57969	17.631	1.0	0.06886524475134523	N124
row118	769.50127	16.323	1.0	0.0604890131884059	N125
row119	590.34563	10.667	1.0	0.16104697530394826	N126
row120	407.28015	7.557	1.0	-0.31265051474723415	N127
row121	894.54504	18.379	1.0	-0.12469803784995058	N128
row122	295.2278	9.254	1.0	-0.21421092697009728	N129
row123	742.53835	18.497	1.0	0.1586340305844193	N131
row124	502.2936	10.389	1.0	-0.3776947081338322	N132
row125	632.35573	11.286	1.0	-0.10557913379666538	N133
row126	736.51747	14.061	1.0	0.23806298975901713	N134
row127	327.23265	11.673	1.0	-0.19729429454617434	N136
row128	967.53687	12.906	1.0	-0.09210288163399293	N137
row129	782.49397	17.37	1.0	0.2537842454734301	N138
row130	889.57676	17.812	1.0	0.10980213126412047	N139
row131	768.55414	18.897	1.0	0.01676183223409401	N140
row132	778.50145	15.93	1.0	-0.1561396839519141	N141
row133	848.52731	13.649	1.0	-0.10435955786725157	N142
row134	582.50956	17.101	1.0	0.1472036219371339	N143
row135	794.54687	19.754	1.0	0.09964918273908965	N144
row136	918.5452	18.156	1.0	-0.013172455888595981	N145
row137	874.5578	17.79	1.0	-0.04861586871789078	N146
row138	562.31447	11.253	1.0	-0.2841139048803402	N147
