SOURCE	TARGET	ENZYMES
c226crn	c226coa	6.2.1.3;1.3.99.3;2.3.1.21
c226crn	C00010	6.2.1.3;1.3.99.3;2.3.1.21
c226crn	C00318	6.2.1.3;1.3.99.3;2.3.1.21
C00010	CE5967	2.3.1.16;3.1.2.2
C00010	C00219	;3.1.2.2;6.2.1.3
C00010	C00319	;2.3.1.24
C00010	C02934	2.3.1.50
C00010	clpndcrn	6.2.1.3;2.3.1.86;1.3.99.3;2.3.1.21
C00010	tmndnccrn	6.2.1.3;2.3.1.86;1.3.99.3;2.3.1.21
C00010	dcsptn1crn	6.2.1.3;1.3.99.3;2.3.1.21
C00318	clpndcrn	6.2.1.3;1.3.99.3;2.3.1.21
C00318	tmndnccrn	6.2.1.3;1.3.99.3;2.3.1.21
C00318	dcsptn1crn	6.2.1.3;1.3.99.3;2.3.1.21
CE5967	CE5968	3.1.2.2
CE5967	C00024	2.3.1.16;3.1.2.2
CE5967	CE5966	2.3.1.16
C00219	CE7244	1.14.14.1
C00219	C00340	1.14.15.3
C00219	C03547	1.14.15.3
C00219	C00060	;3.1.1.4;3.1.-
C00219	C06254	;3.1.1.4
C00219	C02050	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C00219	C06427	3.1.1.4;3.1.2.2;6.2.1.3
C00219	C00028	;1.13.11.31;1.13.11.33;1.14.99.1
C00219	C04635	;3.1.1.4
C00219	C14770	3.1.2.2;1.14.14.1
C00219	C00116	3.1.-
C00219	C06425	3.1.2.2;6.2.1.3
C00219	CE7243	1.14.14.1
C00219	C00154	;3.1.2.2;6.2.1.3
C00219	C05965	;3.1.1.4;1.14.99.1;1.14.14.1;6.2.1.3;3.1.2.2;1.11.1.9;1.13.11.31;1.14.15.3;1.13.11.33;1.13.11.34;3.1.-
C00219	CE2565	1.13.11.34;1.14.99.1
C00219	C14748	1.14.15.3
C00219	CE5705	1.14.14.1
C00219	C04756	3.1.1.4
