m/z	retention_time	p-value	t-score	custom_id
760.58465	19.341	1	0.08132938435002687	P1
876.80088	23.952	1	-0.06459414516386071	P2
782.56882	18.116	1	0.2903910488705475	P3
758.56897	18.518	0	0.9445611810675837	P4
806.56868	17.913	0	0.5979900313871379	P6
874.78481	23.42	1	-0.04205021607842669	P7
848.76963	23.348	1	0.03882238952592909	P8
784.58393	19.02	0	0.9750269441267039	P9
810.59934	19.6	0	0.8308306990281248	P10
902.81583	23.995	1	-0.2592457801578901	P11
812.61544	21.49	0	0.6801401102354526	P12
703.57457	16.649	1	-0.12904304756417356	P13
808.58384	18.354	1	-0.07721728360778454	P14
846.75373	22.872	1	0.02516194930763782	P15
850.78588	23.923	1	-0.03520112061573193	P16
738.64643	16.871	1	-0.012896018840417727	P17
764.52141	16.962	1	0.14572881275251737	P18
872.76922	22.977	1	0.039380278134919386	P19
900.80052	23.515	1	-0.07562522659966313	P20
732.55364	18.061	1	0.019130385414946695	P21
820.73836	22.798	1	-0.07645127300557499	P22
496.33969	10.5	0	0.44633780956972735	P23
904.83199	24.673	1	-0.016868577859166504	P24
832.58431	18.079	1	0.046028338970120576	P25
1520.165	19.408	1	-0.04202810124975682	P26
756.55353	17.775	1	0.24406723711486852	P27
524.37105	11.862	1	0.22984659488831102	P28
834.59966	19.173	1	0.4045621544448415	P29
768.55383	18.153	0	0.8233239745279188	P30
766.53753	17.304	0	0.43946045995272365	P31
638.57153	19.294	1	0.04299572185870394	P32
740.52205	17.125	1	0.41215118311404336	P33
813.68382	23.413	1	0.06180215989136617	P34
862.78563	23.666	1	-0.03417171583191878	P35
904.59029	15.514	0	0.47726544171385116	P36
780.55264	17.858	1	0.014670898518405799	P37
734.56962	19.235	1	-0.007364022052810266	P38
822.75466	23.301	1	0.0022141300177084713	P39
844.73831	22.453	1	0.1012849518065205	P40
930.84806	24.66	1	-0.3419655135790926	P41
534.52389	17.445	1	0.17204627438431033	P42
522.35572	10.769	1	-0.1930466260201772	P43
898.78507	23.098	1	0.08625641182089308	P44
774.60121	21.321	1	-0.2493510295307547	P45
804.55288	17.31	1	0.005486865130770168	P46
790.53726	17.158	1	0.04414783066815663	P47
818.72271	22.344	1	-0.016958580595054992	P48
746.60585	22.845	1	-0.11922657749370494	P49
730.53824	17.428	1	-0.07259457003984905	P50
870.75379	22.606	1	0.08223209016512861	P51
746.57037	18.905	1	-0.1147852750758327	P52
890.81704	24.3	1	-0.10316819499918753	P53
544.33966	9.935	1	0.11710759282340594	P54
878.81697	24.669	1	0.04602324763452034	P55
888.80117	23.721	1	-0.21153331100200518	P56
429.37233	15.204	1	-0.21425303012816577	P57
830.56865	17.588	1	0.16556413881040535	P58
429.37233	16.368	1	0.21300733372068872	P59
612.55593	19.183	1	0.12425660011697018	P60
812.54346	16.714	1	0.061301794635394556	P61
627.53429	15.506	0	0.540162650056678	P62
1565.13692	18.088	1	0.3695283730619028	P63
1516.1338	18.476	1	0.12771077408902742	P64
1546.17871	19.186	1	-0.1663237434074555	P65
610.54031	18.538	1	0.12929148330972554	P66
568.33953	10.002	1	0.006591512592970097	P68
926.81688	23.685	1	-0.21352510249636203	P69
552.53444	17.445	1	0.20402115198850865	P70
792.70756	22.261	1	-0.07617461715373534	P72
768.5904	19.141	1	0.12809990605154198	P73
928.83243	24.171	1	-0.18731533915606807	P74
792.55353	17.89	1	0.4064473829795274	P75
689.55902	16.185	1	-0.18168392743617034	P76
742.5383	17.553	1	0.2761282998342362	P77
1613.13724	17.855	1	0.24072986621528963	P78
796.58426	18.918	1	0.10619916108854313	P79
1571.18446	19.613	1	-0.07882755263355525	P80
1537.19337	18.938	1	0.014400771379031624	P81
860.77012	23.146	1	0.06005013171425625	P82
1572.19639	20.643	1	0.08693111235629017	P83
834.75464	23.095	1	0.01575491486415703	P84
520.33989	9.919	1	0.12207938298308135	P85
782.56724	19.44	1	0.20115415055287358	P86
906.60684	16.22	1	0.16853269000493618	P87
794.72337	22.738	1	-0.19822709027588284	P88
1566.14898	18.375	1	-0.06432707757817709	P89
720.59014	22.505	1	-0.0037217912796569095	P90
1564.13357	18.09	1	0.31457556309566537	P91
502.29279	9.651	1	0.1106552154881447	P92
922.78543	23.037	1	0.1724043917887845	P93
896.77001	22.705	1	-0.0021664115801993	P94
887.56492	15.506	0	0.48310215049540073	P95
820.58442	18.498	1	0.21183426554359136	P96
1540.13309	18.234	1	0.10548342512310087	P97
603.53438	19.296	1	0.04051561548090951	P98
636.55621	18.731	0	0.6660696869800389	P99
577.51875	19.187	1	0.08564686343354948	P100
812.65201	21.395	0	-0.5222303637251923	P101
824.61565	20.933	1	0.06064163637315771	P103
902.57572	15.006	1	0.11033923766104407	P104
520.50864	16.949	1	0.15890549540776486	P105
762.50642	16.138	1	-0.08576224797510591	P106
526.29278	9.716	1	0.056613915598219	P107
716.5227	17.295	1	0.09000932790985149	P108
339.28915	19.286	1	0.05026984718794659	P109
762.60039	23.069	1	-0.014259056148786723	P110
577.51887	23.786	1	-0.018657813000596175	P111
794.60535	19.171	1	0.1319763694400812	P112
836.7705	23.617	1	-0.09461627144054383	P113
1612.1338	17.857	0	0.5408732239766797	P116
864.80189	24.255	1	-0.009649488344381495	P117
932.86436	25.442	1	0.0537863452335127	P118
854.56909	17.306	1	-0.038363756876571446	P119
916.8328	24.354	1	-0.26644740461254474	P120
1570.18059	19.63	0	0.5556908989447584	P121
759.58769	15.952	1	-0.005964460584011629	P122
629.55033	16.219	1	0.09960716875422344	P123
842.72306	22.138	1	0.1165587272620705	P124
754.53826	17.306	1	-0.03318657396684083	P125
1511.17757	18.674	1	0.17255375519420152	P126
920.77005	22.592	1	0.095803090361597	P127
705.5907	17.291	1	-0.0561174173979564	P128
804.55119	18.175	0	0.4235395315085168	P129
924.80096	23.243	1	0.05748434958203053	P130
838.55928	15.439	1	0.11183158558227556	P133
701.55915	15.921	1	-0.1800263063333352	P135
836.54346	16.526	1	-0.16992688285694968	P136
